X1,X2,X3,X4,X5,X6,X7,X8,T,,X1,X2,X3,X4,X5,X6,X7,X8,Y
550,0,0,165,550,1283,1.018181818,1,22,,Cement,RHA ,SiO2% in RHA,Water,FA,CA,SP%,Age,CS
550,0,0,165,550,1283,1.018181818,3,43.5,,,,,,,,,,
550,0,0,165,550,1283,1.018181818,7,53.6,,,,,,,,,,
550,0,0,165,550,1283,1.018181818,28,63.5,,,,,,,,,,
550,0,0,165,550,1283,1.018181818,90,71.7,,,,,,,,,,
495,55,86.98,165,546,1273,1.054545455,1,22.7,,,,,,,,,,
495,55,86.98,165,546,1273,1.054545455,3,47.9,,,,,,,,,,
495,55,86.98,165,546,1273,1.054545455,7,60.6,,,,,,,,,,
495,55,86.98,165,546,1273,1.054545455,28,72.8,,,,,,,,,,
495,55,86.98,165,546,1273,1.054545455,90,83.2,,,,,,,,,,
468,82,86.98,165,543,1267,1.109090909,1,22.9,,,,,,,,,,
468,82,86.98,165,543,1267,1.109090909,3,49,,,,,,,,,,
468,82,86.98,165,543,1267,1.109090909,7,62.5,,,,,,,,,,
468,82,86.98,165,543,1267,1.109090909,28,75.1,,,,,,,,,,
468,82,86.98,165,543,1267,1.109090909,90,84.9,,,,,,,,,,
440,110,86.98,165,540,1261,1.145454545,1,23.1,,,,,,,,,,
440,110,86.98,165,540,1261,1.145454545,3,51.5,,,,,,,,,,
440,110,86.98,165,540,1261,1.145454545,7,64.3,,,,,,,,,,
440,110,86.98,165,540,1261,1.145454545,28,78.2,,,,,,,,,,
440,110,86.98,165,540,1261,1.145454545,90,86.8,,,,,,,,,,
500,0,0,160,567,1324,1.1,1,20.9,,,,,,,,,,
500,0,0,160,567,1324,1.1,3,41.3,,,,,,,,,,
500,0,0,160,567,1324,1.1,7,51,,,,,,,,,,
500,0,0,160,567,1324,1.1,28,59.6,,,,,,,,,,
500,0,0,160,567,1324,1.1,90,66.8,,,,,,,,,,
450,50,86.98,160,562,1313,1.144,1,21.7,,,,,,,,,,
450,50,86.98,160,562,1313,1.144,3,45.8,,,,,,,,,,
450,50,86.98,160,562,1313,1.144,7,58,,,,,,,,,,
450,50,86.98,160,562,1313,1.144,28,68.8,,,,,,,,,,
450,50,86.98,160,562,1313,1.144,90,78.2,,,,,,,,,,
425,75,86.98,160,560,1307,1.2,1,21.8,,,,,,,,,,
425,75,86.98,160,560,1307,1.2,3,46.5,,,,,,,,,,
425,75,86.98,160,560,1307,1.2,7,61.2,,,,,,,,,,
425,75,86.98,160,560,1307,1.2,28,72.2,,,,,,,,,,
425,75,86.98,160,560,1307,1.2,90,81.5,,,,,,,,,,
400,100,86.98,160,558,1301,1.244,1,22,,,,,,,,,,
400,100,86.98,160,558,1301,1.244,3,48.7,,,,,,,,,,
400,100,86.98,160,558,1301,1.244,7,61.8,,,,,,,,,,
400,100,86.98,160,558,1301,1.244,28,72.7,,,,,,,,,,
400,100,86.98,160,558,1301,1.244,90,82.2,,,,,,,,,,
500,0,0,170,560,1305,1,1,18.9,,,,,,,,,,
500,0,0,170,560,1305,1,3,39.9,,,,,,,,,,
500,0,0,170,560,1305,1,7,49.8,,,,,,,,,,
500,0,0,170,560,1305,1,28,57.9,,,,,,,,,,
500,0,0,170,560,1305,1,90,64.9,,,,,,,,,,
450,50,86.98,170,555,1294,1,1,19.5,,,,,,,,,,
450,50,86.98,170,555,1294,1,3,44.3,,,,,,,,,,
450,50,86.98,170,555,1294,1,7,56.8,,,,,,,,,,
450,50,86.98,170,555,1294,1,28,66.6,,,,,,,,,,
450,50,86.98,170,555,1294,1,90,75.6,,,,,,,,,,
425,75,86.98,170,553,1290,1,1,19.7,,,,,,,,,,
425,75,86.98,170,553,1290,1,3,45.2,,,,,,,,,,
425,75,86.98,170,553,1290,1,7,57.6,,,,,,,,,,
425,75,86.98,170,553,1290,1,28,67.2,,,,,,,,,,
425,75,86.98,170,553,1290,1,90,75.8,,,,,,,,,,
400,100,86.98,170,551,1285,1,1,20.1,,,,,,,,,,
400,100,86.98,170,551,1285,1,3,46.9,,,,,,,,,,
400,100,86.98,170,551,1285,1,7,59.1,,,,,,,,,,
400,100,86.98,170,551,1285,1,28,69.3,,,,,,,,,,
400,100,86.98,170,551,1285,1,90,77.2,,,,,,,,,,
550,0,0,165,550,1283,1.2,1,39.7,,,,,,,,,,
550,0,0,165,550,1283,1.2,3,67.2,,,,,,,,,,
550,0,0,165,550,1283,1.2,7,78.9,,,,,,,,,,
550,0,0,165,550,1283,1.2,28,88.5,,,,,,,,,,
550,0,0,165,550,1283,1.2,90,97.1,,,,,,,,,,
495,55,86.98,165,546,1273,1.236363636,1,34.7,,,,,,,,,,
495,55,86.98,165,546,1273,1.236363636,3,60.8,,,,,,,,,,
495,55,86.98,165,546,1273,1.236363636,7,83.6,,,,,,,,,,
495,55,86.98,165,546,1273,1.236363636,28,95.2,,,,,,,,,,
495,55,86.98,165,546,1273,1.236363636,90,104.1,,,,,,,,,,
468,82,86.98,165,543,1267,1.307272727,1,35.3,,,,,,,,,,
468,82,86.98,165,543,1267,1.307272727,3,63.2,,,,,,,,,,
468,82,86.98,165,543,1267,1.307272727,7,85.4,,,,,,,,,,
468,82,86.98,165,543,1267,1.307272727,28,96,,,,,,,,,,
468,82,86.98,165,543,1267,1.307272727,90,104.4,,,,,,,,,,
440,110,86.98,165,540,1261,1.350909091,1,37.5,,,,,,,,,,
440,110,86.98,165,540,1261,1.350909091,3,66.5,,,,,,,,,,
440,110,86.98,165,540,1261,1.350909091,7,86,,,,,,,,,,
440,110,86.98,165,540,1261,1.350909091,28,98.1,,,,,,,,,,
440,110,86.98,165,540,1261,1.350909091,90,106.5,,,,,,,,,,
500,0,0,160,567,1324,1.3,1,37.8,,,,,,,,,,
500,0,0,160,567,1324,1.3,3,63.9,,,,,,,,,,
500,0,0,160,567,1324,1.3,7,76.4,,,,,,,,,,
500,0,0,160,567,1324,1.3,28,85.7,,,,,,,,,,
500,0,0,160,567,1324,1.3,90,94,,,,,,,,,,
450,50,86.98,160,562,1313,1.352,1,32.1,,,,,,,,,,
450,50,86.98,160,562,1313,1.352,3,58.9,,,,,,,,,,
450,50,86.98,160,562,1313,1.352,7,80.6,,,,,,,,,,
450,50,86.98,160,562,1313,1.352,28,91.6,,,,,,,,,,
450,50,86.98,160,562,1313,1.352,90,100.3,,,,,,,,,,
425,75,86.98,160,560,1307,1.416,1,33.8,,,,,,,,,,
425,75,86.98,160,560,1307,1.416,3,59.2,,,,,,,,,,
425,75,86.98,160,560,1307,1.416,7,81.9,,,,,,,,,,
425,75,86.98,160,560,1307,1.416,28,93.4,,,,,,,,,,
425,75,86.98,160,560,1307,1.416,90,101.8,,,,,,,,,,
400,100,86.98,160,558,1301,1.472,1,34.2,,,,,,,,,,
400,100,86.98,160,558,1301,1.472,3,60.7,,,,,,,,,,
400,100,86.98,160,558,1301,1.472,7,82.8,,,,,,,,,,
400,100,86.98,160,558,1301,1.472,28,94.3,,,,,,,,,,
400,100,86.98,160,558,1301,1.472,90,103.3,,,,,,,,,,
500,0,0,170,560,1305,1.28,1,35.5,,,,,,,,,,
500,0,0,170,560,1305,1.28,3,61.7,,,,,,,,,,
500,0,0,170,560,1305,1.28,7,73.8,,,,,,,,,,
500,0,0,170,560,1305,1.28,28,82.8,,,,,,,,,,
500,0,0,170,560,1305,1.28,90,90.5,,,,,,,,,,
450,50,86.98,170,555,1294,1.28,1,29.9,,,,,,,,,,
450,50,86.98,170,555,1294,1.28,3,57.6,,,,,,,,,,
450,50,86.98,170,555,1294,1.28,7,78.9,,,,,,,,,,
450,50,86.98,170,555,1294,1.28,28,89.7,,,,,,,,,,
450,50,86.98,170,555,1294,1.28,90,98.5,,,,,,,,,,
425,75,86.98,170,553,1290,1.28,1,32.6,,,,,,,,,,
425,75,86.98,170,553,1290,1.28,3,57.3,,,,,,,,,,
425,75,86.98,170,553,1290,1.28,7,79.2,,,,,,,,,,
425,75,86.98,170,553,1290,1.28,28,90.3,,,,,,,,,,
425,75,86.98,170,553,1290,1.28,90,99.1,,,,,,,,,,
400,100,86.98,170,551,1285,1.28,1,31.1,,,,,,,,,,
400,100,86.98,170,551,1285,1.28,3,59.2,,,,,,,,,,
400,100,86.98,170,551,1285,1.28,7,80.3,,,,,,,,,,
400,100,86.98,170,551,1285,1.28,28,91.1,,,,,,,,,,
400,100,86.98,170,551,1285,1.28,90,100.1,,,,,,,,,,
345,38,87.32,202.99,575,1150,0,7,28,,,,,,,,,,
345,38,87.32,202.99,575,1150,0,14,35.3,,,,,,,,,,
345,38,87.32,202.99,575,1150,0,28,41.3,,,,,,,,,,
345,38,87.32,202.99,575,1150,0,90,44.8,,,,,,,,,,
326,57,87.32,202.99,575,1150,0,7,29.3,,,,,,,,,,
326,57,87.32,202.99,575,1150,0,14,36,,,,,,,,,,
326,57,87.32,202.99,575,1150,0,28,41.8,,,,,,,,,,
326,57,87.32,202.99,575,1150,0,90,45.7,,,,,,,,,,
306,77,87.32,202.99,575,1150,0,7,29.7,,,,,,,,,,
306,77,87.32,202.99,575,1150,0,14,39.3,,,,,,,,,,
306,77,87.32,202.99,575,1150,0,28,42.5,,,,,,,,,,
306,77,87.32,202.99,575,1150,0,90,46,,,,,,,,,,
513,0,0,143.64,720,1005,2,28,70.89,,,,,,,,,,
513,0,0,143.64,720,1005,2,90,75.786,,,,,,,,,,
468,34,87.2,140.56,730,1020,2.05,28,76.398,,,,,,,,,,
468,34,87.2,140.56,730,1020,2.05,90,83.742,,,,,,,,,,
448,0,0,143.36,765,1005,1.2,28,58.956,,,,,,,,,,
448,0,0,143.36,765,1005,1.2,90,68.034,,,,,,,,,,
401,29,87.2,137.6,765,1000,1.88,28,67.32,,,,,,,,,,
401,29,87.2,137.6,765,1000,1.88,90,73.644,,,,,,,,,,
393,0,0,157.2,785,975,0.9,28,52.224,,,,,,,,,,
393,0,0,157.2,785,975,0.9,90,57.834,,,,,,,,,,
358,26,87.2,153.6,795,980,0.91,28,53.04,,,,,,,,,,
358,26,87.2,153.6,795,980,0.91,90,58.446,,,,,,,,,,
371,20,88.32,207,750,994,1.12,1,17.9,,,,,,,,,,
371,20,88.32,207,750,994,1.12,3,25.3,,,,,,,,,,
371,20,88.32,207,750,994,1.12,7,30,,,,,,,,,,
371,20,88.32,207,750,994,1.12,28,40.2,,,,,,,,,,
